TotalLoad,OtherLoad,HVACLoad,Ambient,Humidity,DOW,TOD,ClgSP,KitchenClgSP,GuestClgSP,HtgSP,KitchenHtgSP,GuestHtgSP,SupplyAirSP,ChwSP
163192.35618,108901.64398,54290.71220,  23.90000,  37.00000,   1.00000,  15.00000,  25.10475,  27.10475,  25.10475,  21.00000,  19.00000,  21.00000,  13.55238,   8.35713
255652.89531,138189.12755,117463.76775,  24.17500,  36.00000,   1.00000,  15.25000,  22.99493,  24.99493,  22.99493,  21.00000,  19.00000,  21.00000,  12.49747,   5.19240
195530.23982,138182.55841,57347.68140,  24.45000,  35.00000,   1.00000,  15.50000,  24.97962,  26.97962,  24.97962,  21.00000,  19.00000,  21.00000,  13.48981,   8.16943
231837.50494,138233.48738,93604.01756,  24.72500,  34.00000,   1.00000,  15.75000,  23.97617,  25.97617,  23.97617,  21.00000,  19.00000,  21.00000,  12.98809,   6.66426
253890.55678,138212.34729,115678.20950,  25.00000,  33.00000,   1.00000,  16.00000,  23.20369,  25.20369,  23.20369,  21.00000,  19.00000,  21.00000,  12.60185,   5.50554
296035.47297,165833.95482,130201.51815,  24.72500,  32.75000,   1.00000,  16.25000,  22.43639,  24.43639,  22.43639,  21.00000,  19.00000,  21.00000,  12.21819,   4.35458
297183.96876,165815.52394,131368.44482,  24.45000,  32.50000,   1.00000,  16.50000,  22.16283,  24.16283,  22.16283,  21.00000,  19.00000,  21.00000,  12.08142,   3.94425
242421.88331,165807.56556,76614.31775,  24.17500,  32.25000,   1.00000,  16.75000,  23.81114,  25.81114,  23.81114,  21.00000,  19.00000,  21.00000,  12.90557,   6.41671
204349.86111,165833.61696,38516.24415,  23.90000,  32.00000,   1.00000,  17.00000,  25.44550,  27.44550,  25.44550,  21.00000,  19.00000,  21.00000,  13.72275,   8.86825
270591.90705,227521.98473,43069.92233,  23.62500,  33.50000,   1.00000,  17.25000,  25.40282,  27.40282,  25.40282,  21.00000,  19.00000,  21.00000,  13.70141,   8.80424
285672.76228,227516.95382,58155.80846,  23.35000,  35.00000,   1.00000,  17.50000,  24.96997,  26.96997,  24.96997,  21.00000,  19.00000,  21.00000,  13.48498,   8.15495
362478.14865,227497.93643,134980.21221,  23.07500,  36.50000,   1.00000,  17.75000,  22.63713,  24.63713,  22.63713,  21.00000,  19.00000,  21.00000,  12.31857,   4.65570
282319.70128,227444.89624,54874.80504,  22.80000,  38.00000,   1.00000,  18.00000,  24.98287,  26.98287,  24.98287,  21.00000,  19.00000,  21.00000,  13.49144,   8.17431
348648.80602,231461.80229,117187.00373,  22.25000,  39.50000,   1.00000,  18.25000,  22.74286,  24.74286,  22.74286,  21.00000,  19.00000,  21.00000,  12.37143,   4.81429
281525.42966,231400.05766,50125.37200,  21.70000,  41.00000,   1.00000,  18.50000,  25.02590,  27.02590,  25.02590,  21.00000,  19.00000,  21.00000,  13.51295,   8.23885
351673.44132,231435.07630,120238.36501,  21.15000,  42.50000,   1.00000,  18.75000,  22.28295,  24.28295,  22.28295,  21.00000,  19.00000,  21.00000,  12.14147,   4.12442
286243.71869,231362.48788,54881.23081,  20.60000,  44.00000,   1.00000,  19.00000,  24.60006,  26.60006,  24.60006,  21.00000,  19.00000,  21.00000,  13.30003,   7.60010
313695.25321,268647.90309,45047.35012,  19.75000,  45.50000,   1.00000,  19.25000,  25.21362,  27.21362,  25.21362,  21.00000,  19.00000,  21.00000,  13.60681,   8.52043
317827.90770,268632.05809,49195.84961,  18.90000,  47.00000,   1.00000,  19.50000,  24.99566,  26.99566,  24.99566,  21.00000,  19.00000,  21.00000,  13.49783,   8.19350
354048.56875,268605.03225,85443.53651,  18.05000,  48.50000,   1.00000,  19.75000,  23.53582,  25.53582,  23.53582,  21.00000,  19.00000,  21.00000,  12.76791,   6.00373
334249.85689,268551.51116,65698.34573,  17.20000,  50.00000,   1.00000,  20.00000,  24.10684,  26.10684,  24.10684,  21.00000,  19.00000,  21.00000,  13.05342,   6.86027
287419.31692,240344.68926,47074.62766,  16.37500,  51.75000,   1.00000,  20.25000,  24.59336,  26.59336,  24.59336,  21.00000,  19.00000,  21.00000,  13.29668,   7.59004
318392.15986,240332.67838,78059.48148,  15.55000,  53.50000,   1.00000,  20.50000,  22.67669,  24.67669,  22.67669,  21.00000,  19.00000,  21.00000,  12.33834,   4.71503
297029.70113,240275.83859,56753.86254,  14.72500,  55.25000,   1.00000,  20.75000,  23.65894,  25.65894,  23.65894,  21.00000,  19.00000,  21.00000,  12.82947,   6.18842
293786.06767,240283.72866,53502.33902,  13.90000,  57.00000,   1.00000,  21.00000,  23.80111,  25.80111,  23.80111,  21.00000,  19.00000,  21.00000,  12.90055,   6.40166
264043.22584,186952.51214,77090.71371,  13.47500,  58.75000,   1.00000,  21.25000,  22.33123,  24.33123,  22.33123,  21.00000,  19.00000,  21.00000,  12.16561,   4.19684
226724.98844,186906.59764,39818.39080,  13.05000,  60.50000,   1.00000,  21.50000,  24.85664,  26.85664,  24.85664,  21.00000,  19.00000,  21.00000,  13.42832,   7.98497
245904.74029,186941.42175,58963.31854,  12.62500,  62.25000,   1.00000,  21.75000,  22.97120,  24.97120,  22.97120,  21.00000,  19.00000,  21.00000,  12.48560,   5.15680
245870.29333,186912.15933,58958.13401,  12.20000,  64.00000,   1.00000,  22.00000,  22.98508,  24.98508,  22.98508,  21.00000,  19.00000,  21.00000,  12.49254,   5.17763
164569.83425,123443.18609,41126.64816,  12.35000,  66.00000,   1.00000,  22.25000,  24.47822,  26.47822,  24.47822,  21.00000,  19.00000,  21.00000,  13.23911,   7.41732
172684.47088,122119.87508,50564.59580,  12.50000,  68.00000,   1.00000,  22.50000,  23.72871,  25.72871,  23.72871,  21.00000,  19.00000,  21.00000,  12.86436,   6.29307
158483.54269,123148.76188,35334.78081,  12.65000,  70.00000,   1.00000,  22.75000,  25.69658,  27.69658,  25.69658,  21.00000,  19.00000,  21.00000,  13.84829,   9.24487
158656.63150,122337.28625,36319.34525,  12.80000,  72.00000,   1.00000,  23.00000,  25.78420,  27.78420,  25.78420,  21.00000,  19.00000,  21.00000,  13.89210,   9.37630
146399.51851,92361.63318,54037.88532,  12.92500,  71.25000,   1.00000,  23.25000,  23.87681,  25.87681,  23.87681,  21.00000,  19.00000,  21.00000,  12.93840,   6.51521
160516.81127,92344.91906,68171.89221,  13.05000,  70.50000,   1.00000,  23.50000,  22.88333,  24.88333,  22.88333,  21.00000,  19.00000,  21.00000,  12.44167,   5.02500
145958.56610,92346.16788,53612.39822,  13.17500,  69.75000,   1.00000,  23.75000,  22.26396,  24.26396,  22.26396,  21.00000,  19.00000,  21.00000,  12.13198,   4.09594
128314.81759,92496.96587,35817.85172,  13.30000,  69.00000,   1.00000,  24.00000,  25.48038,  27.48038,  25.48038,  21.00000,  19.00000,  21.00000,  13.74019,   8.92056
128325.89761,73516.58963,54809.30798,  13.30000,  70.50000,   2.00000,   0.25000,  29.72471,  29.72471,  23.72471,  16.00000,  16.00000,  21.00000,  12.86235,   6.28706
108913.99491,73549.59085,35364.40407,  13.30000,  72.00000,   2.00000,   0.50000,  30.12244,  30.12244,  24.12244,  16.00000,  16.00000,  21.00000,  13.06122,   6.88366
104712.74169,73687.43993,31025.30176,  13.30000,  73.50000,   2.00000,   0.75000,  31.95239,  31.95239,  25.95239,  16.00000,  16.00000,  21.00000,  13.97620,   9.62859
108478.94207,73719.39335,34759.54872,  13.30000,  75.00000,   2.00000,   1.00000,  30.65151,  30.65151,  24.65151,  16.00000,  16.00000,  21.00000,  13.32575,   7.67726
97889.73149,65811.58057,32078.15092,  13.30000,  75.00000,   2.00000,   1.25000,  31.35127,  31.35127,  25.35127,  16.00000,  16.00000,  21.00000,  13.67564,   8.72691
133895.07598,65812.96165,68082.11433,  13.30000,  75.00000,   2.00000,   1.50000,  28.82286,  28.82286,  22.82286,  16.00000,  16.00000,  21.00000,  12.41143,   4.93429
106402.23783,65666.07611,40736.16172,  13.30000,  75.00000,   2.00000,   1.75000,  30.75514,  30.75514,  24.75514,  16.00000,  16.00000,  21.00000,  13.37757,   7.83271
102814.11099,65629.07431,37185.03668,  13.30000,  75.00000,   2.00000,   2.00000,  29.88587,  29.88587,  23.88587,  16.00000,  16.00000,  21.00000,  12.94293,   6.52880
96899.39244,65762.79784,31136.59461,  13.30000,  75.00000,   2.00000,   2.25000,  31.33741,  31.33741,  25.33741,  16.00000,  16.00000,  21.00000,  13.66870,   8.70611
122265.78943,65793.10920,56472.68022,  13.30000,  75.00000,   2.00000,   2.50000,  29.59207,  29.59207,  23.59207,  16.00000,  16.00000,  21.00000,  12.79604,   6.08811
